CATÁLOGO DE CONCEPTOS · OBRA CIVIL
City Express Tijuana El Florido · Precios a 2019-03 (MXN sin IVA)

OC-001 | Trazo y nivelación del terreno con equipo topográfico | m2 | 0.5622 por m² construido | P.U. $16.35
City Express Tijuana El Florido · Precios a 2019-03 (MXN sin IVA)

PCI-001 | Bomba contra incendio eléctrica de 500 gpm | pza | 1.0000 por hotel | P.U. $431,587.44
PCI-002 | Bomba contra incendio de combustión interna | pza | 1.0000 por hotel | P.U. $527,659.74
PCI-003 | Bomba jockey | pza | 1.0000 por hotel | P.U. $52,299.06
PCI-004 | Tablero controlador de bomba contra incendio | pza | 2.0000 por hotel | P.U. $132,272.17
PCI-005 | Tubería de acero cédula 40 ranurada de 4" | m | 27.3412 por nivel | P.U. $861.93
PCI-006 | Tubería de acero cédula 40 de 2 1/2" | m | 48.4264 por nivel | P.U. $523.69
PCI-007 | Tubería de acero cédula 40 de 1" | m | 0.3341 por m² construido | P.U. $257.48
PCI-008 | Rociador automático colgante de respuesta rápida | pza | 0.0882 por m² construido | P.U. $341.82
PCI-009 | Rociador automático de pared en habitación | pza | 1.1413 por llave | P.U. $368.95
PCI-010 | Válvula de control seccional con sensor de flujo | pza | 0.9705 por nivel | P.U. $18,010.23
PCI-011 | Gabinete contra incendio con manguera de 30 m | pza | 1.9872 por nivel | P.U. $14,895.01
PCI-012 | Toma siamesa de bronce | pza | 1.0000 por hotel | P.U. $11,594.81
PCI-013 | Extintor de polvo químico seco de 6 kg | pza | 0.0044 por m² construido | P.U. $1,288.05
PCI-014 | Extintor de CO2 de 4.5 kg en cuartos eléctricos | pza | 6.0000 por hotel | P.U. $2,584.58
PCI-015 | Panel de detección y alarma direccionable | pza | 1.0000 por hotel | P.U. $151,585.82
PCI-016 | Detector de humo fotoeléctrico direccionable | pza | 1.0994 por llave | P.U. $1,204.00
PCI-017 | Detector térmico en cocina | pza | 6.0000 por hotel | P.U. $1,259.39
PCI-018 | Estación manual de alarma | pza | 1.9168 por nivel | P.U. $1,410.95
PCI-019 | Sirena con luz estroboscópica | pza | 4.0529 por nivel | P.U. $1,548.86
PCI-020 | Cable de detección FPLR 2×18 AWG | m | 0.6158 por m² construido | P.U. $21.63
PCI-021 | Sistema de supresión en campana de cocina | lote | 1.0000 por hotel | P.U. $130,664.85
PCI-022 | Puerta cortafuego de 90 minutos en escaleras | pza | 2.0481 por nivel | P.U. $14,789.23
PCI-023 | Señalización fotoluminiscente de evacuación | pza | 0.0216 por m² construido | P.U. $198.20
PCI-024 | Sello cortafuego en pasos de instalaciones | pza | 15.9136 por nivel | P.U. $436.72
PCI-025 | Soportería antisísmica para tubería | pza | 23.5362 por nivel | P.U. $671.68
PCI-026 | Reserva contra incendio en cisterna | m3 | 60.0000 por hotel | P.U. $4,556.54
PCI-027 | Cabezal de pruebas | pza | 1.0000 por hotel | P.U. $9,796.82
PCI-028 | Válvula check y OS&Y de 4" | pza | 3.0000 por hotel | P.U. $12,910.66
PCI-029 | Detector de monóxido de carbono | pza | 4.0000 por hotel | P.U. $1,958.10
PCI-030 | Hidrante de banqueta con toma para bomberos | pza | 1.0000 por hotel | P.U. $30,514.09

CATÁLOGO DE CONCEPTOS · HVAC
City Express Tijuana El Florido · Precios a 2019-03 (MXN sin IVA)

HV-001 | Equipo minisplit inverter de 1 TR para habitación | pza | 0.9565 por llave | P.U. $13,708.17
HV-002 | Equipo paquete de 10 TR para lobby y áreas públicas | pza | 2.0000 por hotel | P.U. $199,782.44
HV-003 | Equipo paquete de 5 TR para desayunador | pza | 1.0000 por hotel | P.U. $101,909.57
HV-004 | Unidad de aire exterior dedicada (DOAS) | pza | 1.0000 por hotel | P.U. $320,951.78
HV-005 | Ducto de lámina galvanizada calibre 24 | kg | 1.6617 por m² construido | P.U. $76.11
HV-006 | Aislamiento de ducto con colchoneta de fibra de vidrio | m2 | 0.3180 por m² construido | P.U. $165.25
HV-007 | Rejilla de inyección de aluminio | pza | 0.0204 por m² construido | P.U. $1,016.03
HV-008 | Rejilla de retorno de aluminio | pza | 0.0121 por m² construido | P.U. $899.13
HV-009 | Difusor de techo de 4 vías | pza | 0.0103 por m² construido | P.U. $1,164.16
HV-010 | Tubería de cobre para refrigerante (par) | m | 9.6045 por llave | P.U. $356.14
HV-011 | Aislamiento para tubería de refrigerante | m | 8.3206 por llave | P.U. $60.33
HV-012 | Drenaje de condensados en PVC | m | 5.9167 por llave | P.U. $53.53
HV-013 | Extractor de baño en habitación | pza | 1.0453 por llave | P.U. $1,514.60
HV-014 | Ducto de extracción de baños por núcleo | m | 23.1540 por nivel | P.U. $412.60
HV-015 | Extractor centrífugo de azotea para baños | pza | 4.0000 por hotel | P.U. $31,114.51
HV-016 | Campana de extracción de cocina con filtros | pza | 1.0000 por hotel | P.U. $141,079.17
HV-017 | Extractor de cocina de azotea | pza | 1.0000 por hotel | P.U. $59,545.77
HV-018 | Ducto de extracción de cocina en lámina negra calibre 16 | m | 28.0000 por hotel | P.U. $2,630.45
HV-019 | Inyector de aire de reposición de cocina | pza | 1.0000 por hotel | P.U. $51,722.01
HV-020 | Termostato programable en habitación | pza | 1.0262 por llave | P.U. $1,095.98
HV-021 | Sistema de control centralizado (BMS) | lote | 1.0000 por hotel | P.U. $234,662.33
HV-022 | Compuerta cortafuego | pza | 6.0204 por nivel | P.U. $4,902.36
HV-023 | Compuerta de balanceo manual | pza | 10.3366 por nivel | P.U. $1,094.24
HV-024 | Soportería para condensadoras en azotea | pza | 1.0080 por llave | P.U. $769.79
HV-025 | Base antivibratoria para equipos | pza | 6.0000 por hotel | P.U. $3,191.51
HV-026 | Pruebas, ajuste y balanceo | lote | 1.0000 por hotel | P.U. $69,863.95
HV-027 | Extracción de cuarto de basura | pza | 1.0000 por hotel | P.U. $20,941.20
HV-028 | Ventilación de cuarto eléctrico | pza | 2.0000 por hotel | P.U. $14,277.35
HV-029 | Cortina de aire en acceso principal | pza | 1.0000 por hotel | P.U. $35,338.69
HV-030 | Aire acondicionado de precisión en SITE | pza | 1.0000 por hotel | P.U. $123,660.25
