CATÁLOGO DE CONCEPTOS · OBRA CIVIL
City Express Cancún Aeropuerto · Precios a 2018-05 (MXN sin IVA)

OC-001 | Trazo y nivelación del terreno con equipo topográfico | m2 | 0.5524 por m² construido | P.U. $14.86
IH-028 | Registro sanitario con coladera en estacionamiento | pza | 0.0682 por llave | P.U. $2,646.61
IH-029 | Llave de nariz y manguera para riego | pza | 3.0990 por nivel | P.U. $498.16
IH-030 | Mingitorio seco | pza | 4.0000 por hotel | P.U. $5,872.17
IH-031 | Tarja de acero inoxidable en cocina | pza | 3.0000 por hotel | P.U. $7,458.49

CATÁLOGO DE CONCEPTOS · PROTECCIÓN CONTRA INCENDIO
City Express Cancún Aeropuerto · Precios a 2018-05 (MXN sin IVA)

PCI-001 | Bomba contra incendio eléctrica de 500 gpm | pza | 1.0000 por hotel | P.U. $435,549.14
PCI-002 | Bomba contra incendio de combustión interna | pza | 1.0000 por hotel | P.U. $456,763.34
PCI-003 | Bomba jockey | pza | 1.0000 por hotel | P.U. $46,598.36
PCI-004 | Tablero controlador de bomba contra incendio | pza | 2.0000 por hotel | P.U. $117,437.64
PCI-005 | Tubería de acero cédula 40 ranurada de 4" | m | 26.2761 por nivel | P.U. $756.34
PCI-006 | Tubería de acero cédula 40 de 2 1/2" | m | 44.1321 por nivel | P.U. $508.82
PCI-007 | Tubería de acero cédula 40 de 1" | m | 0.3074 por m² construido | P.U. $222.65
PCI-008 | Rociador automático colgante de respuesta rápida | pza | 0.0845 por m² construido | P.U. $330.48
PCI-009 | Rociador automático de pared en habitación | pza | 1.2176 por llave | P.U. $365.01
PCI-010 | Válvula de control seccional con sensor de flujo | pza | 1.0301 por nivel | P.U. $18,267.66
PCI-011 | Gabinete contra incendio con manguera de 30 m | pza | 1.9897 por nivel | P.U. $13,213.05
PCI-012 | Toma siamesa de bronce | pza | 1.0000 por hotel | P.U. $12,593.20
PCI-013 | Extintor de polvo químico seco de 6 kg | pza | 0.0041 por m² construido | P.U. $1,224.21
PCI-014 | Extintor de CO2 de 4.5 kg en cuartos eléctricos | pza | 6.0000 por hotel | P.U. $2,393.86
PCI-015 | Panel de detección y alarma direccionable | pza | 1.0000 por hotel | P.U. $144,113.39
PCI-016 | Detector de humo fotoeléctrico direccionable | pza | 1.1428 por llave | P.U. $1,107.65
PCI-017 | Detector térmico en cocina | pza | 6.0000 por hotel | P.U. $1,250.68
PCI-018 | Estación manual de alarma | pza | 1.9111 por nivel | P.U. $1,375.38
PCI-019 | Sirena con luz estroboscópica | pza | 4.0932 por nivel | P.U. $1,523.05
PCI-020 | Cable de detección FPLR 2×18 AWG | m | 0.5953 por m² construido | P.U. $22.47
PCI-021 | Sistema de supresión en campana de cocina | lote | 1.0000 por hotel | P.U. $119,986.32
PCI-022 | Puerta cortafuego de 90 minutos en escaleras | pza | 2.0438 por nivel | P.U. $13,818.01
PCI-023 | Señalización fotoluminiscente de evacuación | pza | 0.0227 por m² construido | P.U. $184.21
PCI-024 | Sello cortafuego en pasos de instalaciones | pza | 16.4949 por nivel | P.U. $434.69
PCI-025 | Soportería antisísmica para tubería | pza | 27.7636 por nivel | P.U. $662.46
PCI-026 | Reserva contra incendio en cisterna | m3 | 60.0000 por hotel | P.U. $4,285.56
PCI-027 | Cabezal de pruebas | pza | 1.0000 por hotel | P.U. $10,356.61
PCI-028 | Válvula check y OS&Y de 4" | pza | 3.0000 por hotel | P.U. $12,693.51
PCI-029 | Detector de monóxido de carbono | pza | 4.0000 por hotel | P.U. $2,088.04
PCI-030 | Hidrante de banqueta con toma para bomberos | pza | 1.0000 por hotel | P.U. $31,596.00
PCI-031 | Sistema de presurización de escaleras | lote | 1.0000 por hotel | P.U. $344,437.16

CATÁLOGO DE CONCEPTOS · HVAC
City Express Cancún Aeropuerto · Precios a 2018-05 (MXN sin IVA)

HV-001 | Equipo minisplit inverter de 1 TR para habitación | pza | 1.0423 por llave | P.U. $13,631.40
HV-002 | Equipo paquete de 10 TR para lobby y áreas públicas | pza | 2.0000 por hotel | P.U. $185,594.00
HV-003 | Equipo paquete de 5 TR para desayunador | pza | 1.0000 por hotel | P.U. $106,055.33
HV-004 | Unidad de aire exterior dedicada (DOAS) | pza | 1.0000 por hotel | P.U. $294,008.86
HV-005 | Ducto de lámina galvanizada calibre 24 | kg | 1.6527 por m² construido | P.U. $77.12
HV-006 | Aislamiento de ducto con colchoneta de fibra de vidrio | m2 | 0.3653 por m² construido | P.U. $145.71
HV-007 | Rejilla de inyección de aluminio | pza | 0.0207 por m² construido | P.U. $993.67
HV-008 | Rejilla de retorno de aluminio | pza | 0.0125 por m² construido | P.U. $767.34
HV-009 | Difusor de techo de 4 vías | pza | 0.0104 por m² construido | P.U. $1,015.66
HV-010 | Tubería de cobre para refrigerante (par) | m | 8.9058 por llave | P.U. $334.93
HV-011 | Aislamiento para tubería de refrigerante | m | 8.8346 por llave | P.U. $58.92
HV-012 | Drenaje de condensados en PVC | m | 5.9441 por llave | P.U. $48.32
HV-013 | Extractor de baño en habitación | pza | 1.0103 por llave | P.U. $1,374.91
HV-014 | Ducto de extracción de baños por núcleo | m | 27.2781 por nivel | P.U. $428.72
HV-015 | Extractor centrífugo de azotea para baños | pza | 4.0000 por hotel | P.U. $31,758.74
HV-016 | Campana de extracción de cocina con filtros | pza | 1.0000 por hotel | P.U. $142,391.26
HV-017 | Extractor de cocina de azotea | pza | 1.0000 por hotel | P.U. $61,509.33
HV-018 | Ducto de extracción de cocina en lámina negra calibre 16 | m | 28.0000 por hotel | P.U. $2,611.34
HV-019 | Inyector de aire de reposición de cocina | pza | 1.0000 por hotel | P.U. $43,918.58
HV-020 | Termostato programable en habitación | pza | 0.9925 por llave | P.U. $1,112.55
HV-021 | Sistema de control centralizado (BMS) | lote | 1.0000 por hotel | P.U. $211,494.41
HV-022 | Compuerta cortafuego | pza | 5.7410 por nivel | P.U. $4,118.15
HV-023 | Compuerta de balanceo manual | pza | 9.8377 por nivel | P.U. $933.02
HV-024 | Soportería para condensadoras en azotea | pza | 1.0326 por llave | P.U. $743.12
HV-025 | Base antivibratoria para equipos | pza | 6.0000 por hotel | P.U. $3,127.49
HV-026 | Pruebas, ajuste y balanceo | lote | 1.0000 por hotel | P.U. $73,411.99
HV-027 | Extracción de cuarto de basura | pza | 1.0000 por hotel | P.U. $18,088.36
HV-028 | Ventilación de cuarto eléctrico | pza | 2.0000 por hotel | P.U. $13,984.19
HV-029 | Cortina de aire en acceso principal | pza | 1.0000 por hotel | P.U. $31,600.13
HV-030 | Aire acondicionado de precisión en SITE | pza | 1.0000 por hotel | P.U. $122,174.09
HV-031 | Recuperador de energía (ERV) para áreas públicas | pza | 1.0000 por hotel | P.U. $227,216.59
